country,med_GDP
Argentina,9068.7844005
Bolivia,2971.0155164999996
Brazil,6805.2008375000005
Canada,22494.8376
Chile,5300.339375
Colombia,4106.6917645
Costa Rica,5446.3250345
Cuba,5891.221186999999
Dominican Republic,2771.540643
Ecuador,6127.4107525
El Salvador,4401.4135465
Guatemala,4342.968407
Haiti,1690.6724140000001
Honduras,3052.395651
Jamaica,6500.716534
Mexico,8181.5425555
Nicaragua,3284.8899475
Panama,5991.4963565
Paraguay,3516.023777
Peru,5873.683865
Puerto Rico,10050.757035499999
Trinidad and Tobago,7379.7943775
United States,24541.095635
Uruguay,6712.281357
Venezuela,10024.539914
